	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
invalid_json	Invalid JSON	JSON invalide	JSON no válido	Μη έγκυρο JSON	JSON non valido	JSON غير صالح	Ungültiges JSON	無効なJSON	Érvénytelen JSON	JSON inválido	Nevažeći JSON	Neveljaven JSON	Неважећи JSON
copy_json	Copy JSON	Copier le JSON	Copiar JSON	Αντιγραφή JSON	Copia JSON	نسخ JSON	JSON kopieren	JSONをコピー	JSON másolása	Copiar JSON	Kopiraj JSON	Kopiraj JSON	Копирај JSON
copied_json	Copied!	Copié !	¡Copiado!	Αντιγράφηκε !	Copiato!	تم النسخ!	Kopiert!	コピーされました！	Másolva!	Copiado!	Kopirano!	Kopirano!	Копирано!
