	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
tooltip_copy	Copied!	Copié!	¡Copiado!	Αντιγραφή!	Copiato!	نسخ!	Kopiert!	コピーしました！	Másolva!	Copiado!	Kopirano!	Kopirano!
copy_to_clipboard	Copy to Clipboard	Copier dans le presse-papier	Copiar al portapapeles	Αντιγραφή στο πρόχειρο	Copia negli appunti	نسخ إلى الحافظة	In die Zwischenablage kopieren	クリップボードにコピー	Másolás a vágólapra	Copiar para a área de transferência	Kopiraj u međuspremnik	Kopiraj v odložišče
translate	Translate	Traduire	Traducir	Μεταφράζω	Tradurre	ترجم	Übersetzen	翻訳する	Fordítás	Traduzir	Prevedi	Prevedi
offline	Offline	Hors ligne	Desconectada	Εκτός σύνδεσης	Non in linea	انقطع الاتصال	Offline	オフライン	Offline	Offline	Izvan mreže	Brez povezave
