	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
youtube_title	YouTube thumbnails reverse search	Recherche inversée des imagettes YouTube	Búsqueda inversa de miniaturas YouTube	Αντίστροφη αναζήτηση μικρογραφιών YouTube	Ricerca inversa di fotogrammi	بحث عكسي عن الصورة في يوتيوب	YouTube Thumbnails Reverse Search	YouTube サムネイルの画像検索	YouTube miniatűrök fordított keresése	Busca reversa de miniaturas do YouTube	Obrnuto pretraživanje minijatura YouTubea	Obratno iskanje sličic YouTube
api_input	Copy and paste a Youtube	Copier et coller une adresse YouTube	Copiar y pegar un enlace de YouTube	Κάντε αντιγραφή και επικόλληση μιας διεύθυνσης URL Youtube	Copia e incolla un Youtube link	نسخ ولصق يوتيوب	Kopieren Sie ein URL von YouTube und fügen Sie sie ein.	YouTube をコピーして貼り付けます	Másoljon be egy YouTube	Copiar e colar um link do YouTube	Kopiraj i zalijepi Youtube	Kopirajte in prilepite YouTube
youtube_input	YouTube video URL	Adresse de la vidéo YouTube	Enlace del video YouTube	Διεύθυνση URL YouTube βίντεο	URL video YouTube	url فيديو يوتيوب	YouTube Video URL	YouTube動画のURL	YouTube videó URL-t	Link do vídeo do YouTube	URL YouTube videozapisa	URL YouTube videa
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošalji	Pošlji
openTabs	Open Tabs	Ouvrir les onglets	Abrir pestañas	Άνοιγμα καρτελών	Apri schede	فتح علامات التبويب	Registerkarten öffnen	開いているタブ	Nyitott lapok	Abrir abas	Otvori kartice	Odpri zavihke
show_result	Display results	Montrer les résultats	Mostrar los resultados	Εμφάνιση αποτελεσμάτων	Visualizza risultati	عرض النتائج	Ergebnisse anzeigen	表示結果	Eredmények megjelenítése	Mostrar resultados	Prikaži rezultate	Prikaži rezultate
cardheader_link	Source of the video	Source de la vidéo	Fuente del vídeo	Πηγή του βίντεο	Fonte del video	مصدر الفيديو	Quelle des Videos	動画の出典	A videó forrása	Fonte do vídeo	Izvor videozapisa	Vir videoposnetka
cardheader_results	Results	Résultats	Resultados	Αποτελέσματα	Risultati	النتائج	Ergebnisse	結果	Eredmények	Resultados	Rezultati	Rezultati
enter_valid_youtube_url	Please use a valid YouTube URL	Veuillez utiliser une URL YouTube valide	Utilice una URL de YouTube válida	Χρησιμοποιήστε μια έγκυρη διεύθυνση URL του YouTube	Utilizzare un URL YouTube valido	من فضلك أدخل رابط يوتيوب صحيح	Bitte verwenden Sie eine gültige YouTube-URL	有効なYouTubeのURLを入れてください	Kérjük, érvényes YouTube URL-t használjon	Use um URL do YouTube válido	Molimo koristite važeći YouTube URL	Uporabite veljaven URL za YouTube
