	en	fr	es	el	it	ar	de	ja	hu	br
no	No	Non	No	Οχι	No	لا	Nein	いいえ	Nem	Não
enable_cookies	This setting will be stored in your preferences	Ce paramétrage sera conservé dans vos préférences	Este parametro se conservará en sus preferencias	Αυτή η ρύθμιση θα αποθηκευτεί στις προτιμήσεις σας	Questa impostazione sarà memorizzata nelle preferenze	سيتم تخزين هذا الإعداد في تفضيلاتك	Diese Einstellung wird in Ihren Vorlieben gespeichert	この設定を環境設定に保存します	Ez a beállítás a beállításaidban lesz tárolva	Este parâmetro será mantido nas suas preferências.
yes	Yes	Oui	Sí	Ναί	Sì	نعم	Ja	はい	Igen	Sim
cancel	Cancel	Annuler	Cancelar	Ματαίωση	Annulla	إلغاء	Stornieren	キャンセル	Mégse	Cancelar
set_as_default	Would you like to set this as the default language?	Voulez-vous définir votre choix comme langue par défaut?	¿Quiere guardar su elección como el idioma por defecto?	Θα θέλατε να ορίσετε ως προεπιλεγμένη γλώσσα;	Volete impostare questo come lingua predefinita?	هل ترغب باختيار هذه اللغة؟ يمكنك تغيير خيارك في أي وقت	Möchten Sie dies als Standardsprache festlegen?	デフォルトの言語として設定しますか?	Szeretnéd ezt beállítani alapértelmezett nyelvként?	Deseja salvar sua escolha como o idioma padrão?
